jargon,short_definition,definition,easy_understanding,use_example,bad_example
怼,当面提意见、刚正面,当面指出问题、提出质疑,当面提意见、刚正面,这个方案逻辑有问题，我当场就怼了,日常闲聊、非工作场景不适用
刚,硬刚、不妥协,坚持立场、正面应对,硬刚、不妥协,这个不合理的需求我必须刚住,无意义的争执、非工作场景不适用
卷,拼命内卷、比谁更拼,过度竞争、无意义的内耗式努力,拼命内卷、比谁更拼,最近项目太卷了，天天加班到凌晨,正常的工作推进、合理的竞争不适用
躺,躺平、摆烂,放弃竞争、佛系工作,躺平、摆烂,这个项目我已经躺了，反正也拿不到好绩效,核心项目推进、关键任务不适用
冲,往前冲、赶紧干,全力推进、快速落地,往前冲、赶紧干,618大促来了，大家一起冲,需要谨慎评估的项目、非紧急任务不适用
扛,扛事、背锅,承担责任、顶住压力,扛事、背锅,这个事我来扛，你们不用管,非本职工作、无责任的场景不适用
甩,推卸责任、把问题抛给别人,推卸责任、把问题抛给别人,甩锅、推活,这个事明明是他的问题，还想甩给我,正常的工作交接、责任明确的场景不适用
摸,工作中偷懒、划水,工作中偷懒、划水,摸鱼、划水,今天活不多，下午摸会儿鱼,核心项目攻坚、紧急任务不适用
肝,爆肝、熬夜干,熬夜加班、拼命干活,爆肝、熬夜干,这个需求明天要上线，今晚得肝了,正常工作时间、非紧急任务不适用
稳,稳住、别出错,稳妥推进、不出差错,稳住、别出错,明天大促，大家一定要稳，别出问题,需要创新突破的项目、非关键任务不适用
战略,面向中长期目标的资源配置与行动选择。,面向中长期目标的资源配置与行动选择。,先说大方向，显得不是只在干杂活。,这个项目要先回到战略层看优先级。,只讨论今天几点发通知时不宜上升到战略。
布局,提前占坑，别等别人做完才想起来。,围绕目标提前配置资源、产品、渠道或组织能力。,提前占坑，别等别人做完才想起来。,我们要提前布局下半年增长机会。,已经临时救火时说布局会显得空。
定位,明确对象在市场、组织或方案中的角色与边界。,明确对象在市场、组织或方案中的角色与边界。,先说清楚这是干啥的、给谁用。,这个工具的定位是内部效率底座。,执行细节已定时反复谈定位会拖慢进度。
赛道,我们在哪条路上和谁卷,具有相似需求、竞争者和商业模式的业务领域。,我们在哪条路上和谁卷。,AI办公是今年重点关注的赛道。,单个功能按钮不宜称为赛道。
